Name,Number,Area,Level
Bed 2,531,11 m²,7th Floor Level
Open Plan,532,53 m²,7th Floor Level
Open Plan,533,34 m²,7th Floor Level
Bthroom,534,6 m²,7th Floor Level
Bed 1,535,10 m²,7th Floor Level
Bed 1,536,Not Enclosed,7th Floor Level
Bathroom,537,7 m²,7th Floor Level
Open Plan,538,27 m²,7th Floor Level
Bed 2,539,28 m²,7th Floor Level
Bed 1,540,9 m²,7th Floor Level
Bathroom,541,5 m²,7th Floor Level
Stair Core/ Lift,542,22 m²,7th Floor Level
Bed 2,543,10 m²,7th Floor Level
Open Plan,544,33 m²,8th Floor Level
Bed 1,545,11 m²,8th Floor Level
En-suite,546,6 m²,8th Floor Level
Bed 1,547,10 m²,8th Floor Level
En-Suite,548,Not Placed,Not Placed
Open Plan,549,27 m²,8th Floor Level
Bed 1,550,Not Placed,Not Placed
Bathroom,551,Not Placed,Not Placed
Open Plan,552,Not Placed,Not Placed
Bed 1,553,17 m²,8th Floor Level
Bathroom,554,6 m²,8th Floor Level
Open Plan,555,37 m²,8th Floor Level
Bed 1,556,13 m²,8th Floor Level
En-suite,557,6 m²,8th Floor Level
Stair Core,558,20 m²,8th Floor Level
Bathroom,559,5 m²,8th Floor Level
Open Plan,560,49 m²,8th Floor Level
Female Toilet,561,6 m²,Ground Floor Plan
Male Toilet,562,6 m²,Ground Floor Plan
Stair Core/ Lift,563,36 m²,Ground Floor Plan
Stair Core/ Lift,564,24 m²,Ground Floor Plan
Plant Room,565,Not Placed,Not Placed
Kitchen,566,53 m²,Ground Floor Plan
Kitchen,567,56 m²,Ground Floor Plan
Bedroom,568,12 m²,Ground Floor Plan
Bedroom,569,14 m²,Ground Floor Plan
Mud Room,570,4 m²,Ground Floor Plan
Mud Room,571,5 m²,Ground Floor Plan
Stair Core/ Lift,572,21 m²,Ground Floor Plan
Kitchen,573,14 m²,Ground Floor Plan
Bathroom,574,8 m²,1st Floor Level
Bed 1,575,12 m²,1st Floor Level
Bed 2,576,12 m²,1st Floor Level
Landing,577,16 m²,1st Floor Level
Bed 3,578,18 m²,1st Floor Level
En-Suite,579,9 m²,1st Floor Level
Bed 1,580,18 m²,1st Floor Level
En-Suite,581,8 m²,1st Floor Level
Bathroom,582,7 m²,1st Floor Level
Landing,583,16 m²,1st Floor Level
Bed 2,584,11 m²,1st Floor Level
Bed 3,585,10 m²,1st Floor Level
Hall,586,18 m²,1st Floor Level
Hall,587,42 m²,1st Floor Level
Hall,588,12 m²,1st Floor Level
Hall,589,23 m²,1st Floor Level
Hall,590,33 m²,1st Floor Level
Hall,591,33 m²,1st Floor Level
Hall,592,12 m²,1st Floor Level
Hall,593,20 m²,1st Floor Level
Bathroom,594,4 m²,1st Floor Level
En-Suite,595,4 m²,1st Floor Level
Open Plan,596,33 m²,9th Floor Level
Bed 1,597,11 m²,9th Floor Level
En-Suite,598,6 m²,9th Floor Level
Bed 1,599,13 m²,9th Floor Level
Open Plan,600,37 m²,9th Floor Level
En-Suite,601,6 m²,9th Floor Level
Stair Core/ Lift,602,20 m²,9th Floor Level
Open Plan,603,49 m²,9th Floor Level
Open Plan,604,17 m²,9th Floor Level
En-Suite,605,6 m²,9th Floor Level
Stair Core,606,21 m²,9th Floor Level
Open Plan,607,24 m²,9th Floor Level
Bed 1,608,14 m²,9th Floor Level
Ensuite,609,11 m²,9th Floor Level
Hall,610,27 m²,9th Floor Level
