Type,Family,Width,Length,Area,Volume,Function,Structural Material,
Wall-Int_102Brick-230stone-280Hrd-230Stone-15P 2,Basic Wall,755,5923,22 m²,16.63 m³,Exterior,Site Rubble/Hardcore,
Wall-Int_102Brick-230stone-110Hrd-230Stone-15P 3,Basic Wall,600,7816,40 m²,23.87 m³,Exterior,Site Rubble/Hardcore,
Wall-Int_102Brick-230stone-110Hrd-230Stone-15P 3,Basic Wall,600,810,3 m²,1.70 m³,Exterior,Site Rubble/Hardcore,
Wall-Int_102Brick-230stone-110Hrd-230Stone-15P 3,Basic Wall,600,810,3 m²,1.70 m³,Exterior,Site Rubble/Hardcore,
Wall-Int_102Brick-230stone-110Hrd-230Stone-15P 3,Basic Wall,600,810,6 m²,3.69 m³,Exterior,Site Rubble/Hardcore,
Wall-Int_102Brick-230stone-110Hrd-230Stone-15P 3,Basic Wall,600,3755,14 m²,8.11 m³,Exterior,Site Rubble/Hardcore,
Wall-Int_15p-219stone-15p,Basic Wall,249,2823,5 m²,1.36 m³,Interior,Stone External Walls,
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,4129,24 m²,12.96 m³,Exterior,Stone External Walls,
Wall-Int_100brick,Basic Wall,125,2129,4 m²,0.52 m³,Interior,Brick, Common
Wall-Int_100brick,Basic Wall,125,3265,7 m²,0.90 m³,Interior,Brick, Common
Wall-Ext_102Brick-413Stone-15P,Basic Wall,531,783,7 m²,3.47 m³,Exterior,Stone External Walls,
Wall-Int_12P-100Blk-12P,Basic Wall,125,240,1 m²,0.09 m³,Interior,Concrete Masonry Units,
Wall-Int_Cubical_Solid Plastic,Basic Wall,50,1723,3 m²,0.17 m³,Interior,BMCD2AR3\Solid Materials \Matte\Normal\Gray, light
Wall-Int_Cubical_Solid Plastic,Basic Wall,50,1723,3 m²,0.17 m³,Interior,BMCD2AR3\Solid Materials \Matte\Normal\Gray, light
Wall-Int_Cubical_Solid Plastic,Basic Wall,50,1723,3 m²,0.17 m³,Interior,BMCD2AR3\Solid Materials \Matte\Normal\Gray, light
Wall-Int_Cubical_Solid Plastic,Basic Wall,50,1723,4 m²,0.18 m³,Interior,BMCD2AR3\Solid Materials \Matte\Normal\Gray, light
Wall-Int_Cubical_Solid Plastic,Basic Wall,50,3575,1 m²,0.04 m³,Interior,BMCD2AR3\Solid Materials \Matte\Normal\Gray, light
Wall-Int_Cubical_Solid Plastic,Basic Wall,50,1603,3 m²,0.16 m³,Interior,BMCD2AR3\Solid Materials \Matte\Normal\Gray, light
Wall-Int_Cubical_Solid Plastic,Basic Wall,50,1603,3 m²,0.16 m³,Interior,BMCD2AR3\Solid Materials \Matte\Normal\Gray, light
Wall-Int_Cubical_Solid Plastic,Basic Wall,50,1603,3 m²,0.16 m³,Interior,BMCD2AR3\Solid Materials \Matte\Normal\Gray, light
Wall-Int_Cubical_Solid Plastic,Basic Wall,50,2460,1 m²,0.03 m³,Interior,BMCD2AR3\Solid Materials \Matte\Normal\Gray, light
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,1064,1 m²,0.45 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,880,2 m²,0.62 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,1990,1 m²,0.29 m³,Exterior,Stone External Walls,
Wall-Ext_102Brick-223Stone-15P,Basic Wall,341,880,2 m²,0.62 m³,Exterior,Stone External Walls,
Wall-Int_100brick,Basic Wall,125,2346,5 m²,0.57 m³,Interior,Brick, Common
Wall-Int_12P-100Blk-12P,Basic Wall,125,5785,18 m²,2.22 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,6400,16 m²,2.02 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,1685,5 m²,0.57 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,1352,2 m²,0.25 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,1500,5 m²,0.62 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,1314,2 m²,0.25 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,3585,10 m²,1.30 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,2500,8 m²,1.04 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,2601,8 m²,1.03 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,7738,22 m²,2.79 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,2100,2 m²,0.29 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,2601,9 m²,1.08 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,4701,12 m²,1.56 m³,Interior,Concrete Masonry Units,
